locality,rent
Colac,280
Otway,280
Corangamite,250
Glenelg,250
Greater Geelong,350
Moyne,280
Queenscliffe,380
Southern Grampians,230
Surf Coast,450
Warrnambool,300
Ararat,250
Ballarat,290
Golden Plains,350
Hepburn,340
Hindmarsh,190
Horsham,260
Moorabool,348
Northern Grampians,210
Pyrenees,270
West Wimmera,180
Yarriambiack,180
Buloke,180
Campaspe,270
Central Goldfields,250
Gannawarra,202
Greater Bendigo,300
Loddon,220
Macedon Ranges,420
Mildura,275
Mount Alexander,330
Swan Hill,250
Alpine,285
Benalla,250
Greater Shepparton,280
Indigo,290
Mansfield,330
Mitchell,340
Moira,250
Murrindindi,290
Strathbogie,260
Towong,260
Wangaratta,283
Wodonga,310
Bass Coast,290
Baw Baw,320
East Gippsland,280
Latrobe,245
South Gippsland,260
Wellington,265
Group Total,270
Banyule,400
Brimbank,350
Darebin,400
Hobsons Bay,420
Hume,370
Maribyrnong,390
Melbourne,479
Melton,360
Moonee Valley,410
Moreland,400
Nillumbik,400
Whittlesea,365
Wyndham,370
Yarra,500
Boroondara,440
Knox,400
Manningham,460
Maroondah,390
Monash,450
Whitehorse,425
Yarra Ranges,390
Bayside,550
Cardinia,365
Casey,380
Frankston,360
Glen Eira,445
Greater Dandenong,350
Kingston,420
Mornington Peninsula,395
Port Phillip,460
Stonnington,440
